NQUEST,GIUDINT1,GIUDINT5,GIUDINT2,GIUDINT3,GIUDINT4
4730,4,2,2,3,4
4732,2,2,3,3,4
4939,4,3,4,3,3
4941,3,3,2,2,3
5027,2,3,2,3,2
5028,5,2,4,3,5
5416,3,2,3,4,5
5686,2,2,2,2,4
5697,4,2,3,2,4
5816,3,3,3,3,4
6013,1,4,1,4,1
6090,3,3,2,3,4
6107,4,1,4,4,5
6110,4,2,4,4,5
6501,5,1,4,4,4
6522,5,2,4,4,5
7015,4,2,2,3,4
7016,3,2,2,3,4
7089,4,2,4,3,5
7091,3,1,4,4,4
7097,4,2,4,4,4
7098,3,3,3,2,4
7155,4,2,3,3,5
7160,3,3,3,4,5
7165,4,2,5,4,5
7166,5,2,4,4,5
7781,5,1,4,4,5
7886,5,1,3,3,5
7895,4,3,2,2,5
8168,4,2,2,3,4
8331,5,1,4,3,5
8332,1,3,3,2,4
8481,4,2,4,4,5
8578,4,2,3,4,5
8591,4,2,3,3,5
8754,4,1,3,4,4
8868,4,2,4,4,5
8915,4,2,4,3,4
8952,4,3,3,3,4
8954,5,2,3,3,5
8955,4,3,2,3,4
9248,4,2,3,3,5
9249,4,2,3,3,4
9402,4,2,4,3,5
9405,2,3,3,4,5
9411,4,3,3,3,5
9526,4,2,4,4,5
11810,2,2,2,2,4
11940,4,1,4,4,5
11972,2,3,2,2,2
20010,4,2,5,4,5
20011,5,1,5,4,5
20019,4,1,5,4,5
20020,5,1,5,4,5
20028,4,2,4,4,4
20033,4,2,4,4,4
20047,5,1,5,4,5
20111,5,1,3,3,4
20112,4,2,4,4,5
20154,4,4,4,2,4
20169,3,3,2,4,5
20170,4,2,3,4,5
20174,4,2,4,4,4
20178,5,2,5,4,4
20179,4,2,4,4,4
20223,4,1,4,3,4
20231,4,1,3,3,5
20232,4,2,1,3,5
20241,5,1,3,4,5
20258,5,1,4,4,5
20277,4,2,4,4,5
20284,4,2,4,3,4
20285,4,2,4,3,4
20289,4,2,4,4,4
20297,4,3,2,2,4
20358,5,1,5,4,5
20365,4,3,2,3,4
20372,4,2,4,4,5
20373,2,4,1,3,2
20375,5,1,4,4,5
20380,4,2,4,4,4
20386,4,2,4,4,4
20387,4,2,4,4,4
20391,3,2,3,3,3
20393,5,1,5,4,5
20499,4,2,4,4,4
20503,3,4,3,3,4
20697,5,1,3,4,5
20704,4,2,3,3,5
20711,3,3,4,3,3
20721,5,1,5,4,5
20729,5,1,4,4,4
20766,4,1,4,4,5
20767,2,3,2,3,3
20770,4,2,4,4,4
20782,5,1,5,4,5
20784,5,2,4,2,4
20798,3,1,3,2,4
20837,5,2,4,4,5
20839,3,4,4,3,5
20845,4,2,2,3,4
20846,5,1,4,3,5
20849,5,2,4,4,5
20862,3,2,3,3,4
20881,2,1,2,2,3
20920,4,3,3,2,3
20936,5,1,4,3,4
20944,5,1,4,4,5
20981,5,2,4,3,5
20990,5,2,5,4,5
21002,4,2,3,4,4
21003,4,1,4,4,5
21128,4,1,4,4,4
21368,4,3,3,3,5
21384,4,2,3,2,4
21453,4,2,5,4,5
21456,5,1,5,4,5
21461,4,2,4,4,4
21463,5,1,5,4,5
21464,5,1,5,4,5
21466,5,1,5,4,5
21470,5,1,5,4,5
21472,5,1,5,4,5
21474,5,1,5,4,5
21481,4,1,4,4,4
21482,5,1,5,4,5
21510,3,3,3,3,4
21543,5,1,4,4,5
21546,3,3,3,2,4
21626,4,2,3,3,4
21627,2,3,1,3,3
21636,3,3,2,2,4
21639,3,3,4,4,4
21693,4,2,4,4,5
21699,4,2,4,3,4
21761,4,2,4,4,5
21772,3,3,4,3,2
21859,4,2,3,4,5
21872,2,3,2,2,2
21875,4,1,2,2,2
21877,4,2,2,3,4
21879,4,1,1,1,2
21880,4,1,3,3,4
21926,2,3,1,3,4
21934,2,4,2,3,3
21952,4,2,4,4,5
22015,2,3,2,3,5
22021,3,2,2,4,4
22067,5,2,3,3,5
22074,4,2,4,4,4
22086,2,3,2,3,2
22099,5,2,4,3,4
22116,4,2,4,3,4
22155,3,3,2,2,3
22164,2,3,2,3,4
22167,5,1,4,4,5
22168,3,2,2,2,3
22169,3,3,2,2,3
22173,3,2,4,3,4
22202,4,2,4,3,4
22203,4,2,4,3,4
22208,3,3,3,3,4
22222,4,2,4,3,4
22224,3,2,3,3,4
22225,4,1,4,4,4
22226,5,2,4,4,5
22250,3,3,3,3,4
22251,5,1,5,4,5
22262,5,1,5,4,5
22263,5,1,5,4,5
22265,3,2,5,4,5
22266,5,1,5,4,5
22268,5,1,5,4,5
22270,5,1,5,4,5
22272,5,1,5,4,5
22273,5,1,5,4,5
22274,5,1,5,4,5
22276,1,4,3,3,5
22277,4,2,3,3,5
22278,2,3,1,3,3
22279,2,3,3,3,5
22286,3,3,2,3,5
22292,3,3,2,3,4
22353,5,1,5,4,5
22360,4,2,3,4,4
22373,2,2,2,3,4
22374,5,1,5,3,5
22393,5,2,3,4,5
22503,2,3,2,4,4
22506,3,2,3,3,4
22509,4,2,2,3,3
22516,5,2,5,4,4
22525,2,2,4,4,5
22528,5,2,5,4,5
22533,5,3,5,3,5
22537,3,2,4,4,5
22545,2,4,1,2,1
22548,3,2,3,3,4
22550,5,2,4,3,5
22563,4,2,4,4,5
22570,5,1,4,4,5
22571,5,1,5,4,5
22586,2,2,2,4,4
22587,5,1,4,4,5
22606,3,2,3,3,5
22608,5,1,5,4,5
22624,3,2,1,4,4
22657,4,2,4,3,5
22669,4,1,4,3,5
22685,5,1,4,3,4
22690,5,1,5,3,5
22805,4,1,4,3,4
22807,2,3,3,3,4
22844,4,2,4,4,4
22850,3,3,3,3,3
22891,4,3,3,3,4
22899,5,2,4,4,5
22901,4,3,3,3,5
22903,4,3,3,3,5
22904,3,3,3,3,4
22908,3,3,3,3,4
22961,3,3,4,3,4
22964,5,1,4,3,4
22967,4,1,4,4,4
22972,3,3,3,3,2
22974,5,1,5,4,5
22992,4,2,3,3,5
22993,5,2,4,3,5
22995,5,2,3,3,5
22996,4,2,4,3,5
23149,5,1,5,4,5
23188,5,1,3,4,5
23189,4,2,4,3,4
23193,4,1,3,4,5
23199,5,1,5,4,5
23267,1,3,1,2,3
23273,3,3,3,3,5
23285,2,3,3,2,5
23319,1,4,1,2,1
23324,1,4,1,3,3
23342,1,5,1,3,4
23343,2,2,4,3,4
23350,1,4,1,3,4
23362,5,1,4,4,5
23367,5,2,2,4,5
23370,5,1,4,3,5
23383,4,2,4,3,4
23384,3,2,4,3,4
23386,4,3,4,3,4
23389,3,3,2,2,2
23394,3,2,3,3,3
23399,2,2,3,3,3
23402,4,2,4,3,4
23409,4,1,3,3,4
23410,4,3,3,3,4
23445,4,2,3,3,5
23454,4,1,3,4,5
23455,5,1,4,4,5
23460,5,1,5,4,5
23466,5,1,3,3,5
23469,5,2,4,3,5
23473,4,2,5,4,5
23474,5,1,4,4,5
23490,4,3,4,4,4
23497,5,1,4,3,5
23498,5,2,1,3,2
23527,5,2,3,3,4
23532,5,1,1,4,5
23536,2,3,1,2,2
23552,5,1,5,3,5
23598,2,4,2,3,4
23675,5,1,4,4,4
23680,4,2,3,3,4
23681,4,3,4,4,4
23683,4,2,4,3,4
23689,3,3,4,3,4
23732,5,2,4,4,4
23762,2,3,2,3,5
23797,2,2,3,3,4
23798,4,2,4,3,4
23821,1,5,1,3,4
23822,2,2,3,3,4
23823,4,2,2,2,3
23831,4,2,3,2,4
23835,5,1,5,3,5
23853,4,3,4,4,5
23854,4,2,3,4,4
23855,3,2,3,4,5
23865,4,1,3,3,4
23888,5,1,4,3,5
23951,4,3,2,3,5
23958,5,1,5,4,5
23986,4,3,2,3,4
24010,3,1,4,3,4
24021,4,2,1,3,1
24025,5,1,5,4,5
24030,4,1,2,3,5
24035,1,5,1,4,5
24071,4,2,3,3,5
24080,4,2,3,3,5
24081,2,4,3,3,5
24085,4,3,3,3,5
24105,4,2,3,3,4
24109,4,2,4,3,4
24114,4,2,5,4,5
24116,4,2,4,4,4
24119,4,2,4,4,4
24123,4,2,4,4,4
24132,3,3,3,3,3
24138,4,3,4,3,4
24144,3,3,3,3,4
24147,4,3,4,4,4
24149,3,3,3,3,4
24150,3,3,4,3,4
24158,4,1,2,3,5
24170,4,1,3,3,5
24171,5,1,3,4,5
24173,4,1,4,3,5
24186,2,4,2,2,3
24194,4,3,4,4,5
24195,4,2,4,4,4
24202,4,1,4,4,5
24210,3,3,3,3,4
24304,5,1,5,4,4
24308,5,1,5,4,5
24311,3,3,4,4,5
24312,4,2,3,3,4
24315,4,3,3,2,4
24316,4,3,4,4,5
24317,3,3,2,2,2
24322,4,3,3,3,5
24326,2,3,2,2,4
24330,3,3,3,3,4
24363,4,2,4,2,4
24373,4,3,4,3,5
24374,4,2,4,3,5
24379,4,2,4,4,5
24382,3,3,4,3,5
24390,5,1,5,4,5
24392,5,2,4,3,5
24393,5,2,5,4,5
24409,3,2,2,4,3
24415,5,1,5,4,3
24431,4,3,4,3,4
24434,3,3,2,2,2
24435,4,3,4,3,4
24438,4,3,2,2,3
24446,2,3,4,4,2
24450,5,1,4,4,5
24507,4,2,4,4,4
24517,4,2,3,4,4
24525,3,3,2,3,4
24529,5,2,4,4,4
24530,2,4,3,2,4
24531,2,2,2,3,2
24560,2,3,1,2,1
24566,4,2,4,3,5
24571,4,2,4,3,4
24611,3,3,3,3,3
24613,3,2,3,3,4
24616,2,3,3,3,3
24619,4,3,3,3,4
24623,4,2,3,3,4
24624,4,2,3,3,4
24626,4,2,3,3,2
24628,3,3,3,3,3
24630,4,2,3,3,3
24633,3,3,2,2,3
24635,4,3,4,3,3
24645,4,3,4,2,4
24646,3,3,3,3,3
24655,5,1,4,3,5
24659,5,1,5,4,5
24678,4,3,4,4,4
24679,4,2,4,4,4
24680,3,3,3,3,4
24689,5,1,5,4,5
24724,1,4,1,3,2
24727,4,1,4,3,5
24731,4,3,3,3,4
24760,1,3,1,2,2
24763,5,2,3,4,4
24764,4,2,4,3,4
24770,3,2,3,3,3
24790,5,1,5,4,5
24795,4,2,4,4,4
24800,2,2,2,3,3
24809,4,3,4,3,4
24835,4,2,5,4,5
24849,3,2,4,3,4
24853,4,2,3,4,5
24860,5,2,3,3,5
24885,4,2,3,4,4
24909,3,3,3,4,5
24911,4,3,2,2,4
24912,4,1,3,4,5
24919,5,1,3,3,4
24920,4,2,3,4,5
24921,3,3,2,4,5
24924,4,2,3,3,5
24931,4,2,4,4,5
24940,4,2,4,4,5
24942,5,1,4,3,5
24947,4,2,3,4,5
24948,3,2,3,3,4
24949,3,2,4,3,4
24967,5,1,4,4,3
24974,2,2,2,2,2
24979,2,2,2,3,2
24980,3,2,2,3,3
24984,3,2,3,3,3
25007,4,1,4,3,5
25020,4,2,4,4,4
25079,4,2,3,3,4
25081,4,1,4,4,4
25083,2,4,2,3,4
25084,2,3,2,3,2
25085,4,1,4,3,4
25087,2,3,2,3,2
25090,4,1,3,3,4
25128,4,2,3,3,4
25133,2,3,1,3,2
25134,2,3,3,3,2
25137,4,2,2,3,4
25138,2,3,1,3,2
25141,4,1,2,3,4
25142,4,2,4,3,4
25145,3,3,1,1,1
25148,4,1,3,3,4
25238,4,2,4,4,5
25240,4,2,4,3,4
25245,3,3,4,3,5
25309,1,5,1,2,1
25322,3,3,3,3,3
25373,4,1,4,4,5
25425,4,2,4,3,4
25429,4,2,4,3,4
25435,3,3,3,2,3
25439,4,3,4,3,4
25443,4,3,3,3,4
25444,4,3,4,3,4
25448,4,1,5,3,4
25463,4,2,3,2,4
25602,4,2,2,3,4
25610,5,1,5,3,5
25625,4,2,4,3,4
25634,5,1,4,4,4
25649,4,3,4,3,4
25681,5,1,3,3,5
25723,5,1,5,4,5
25727,5,1,5,3,5
25753,5,1,4,4,5
25754,5,1,5,4,5
25756,5,1,4,3,5
25759,5,1,3,3,5
25760,5,1,4,4,5
25765,5,1,4,4,5
25766,5,1,4,4,5
25767,5,1,1,2,3
25768,5,1,4,4,5
25842,4,1,2,3,4
25883,3,1,3,3,4
25887,4,2,2,3,5
25897,5,1,4,4,5
25898,4,2,4,4,5
25903,5,1,5,4,5
25905,5,1,5,4,5
25910,5,1,5,4,5
25914,5,1,5,4,5
25917,5,1,5,4,5
25918,4,2,4,4,4
25919,5,1,5,4,5
25923,4,2,4,4,5
25924,4,3,2,3,2
25927,5,1,4,4,5
25928,4,3,4,4,5
25930,4,2,4,3,4
25963,4,2,2,3,3
25964,3,3,3,3,4
25967,4,2,4,3,5
25968,4,2,4,3,4
25970,3,3,3,3,4
25973,3,2,2,2,4
25974,3,3,4,3,4
25975,2,3,2,2,3
25978,4,2,4,3,5
26006,2,3,1,3,2
26019,4,1,2,4,4
26020,3,3,3,4,4
26029,4,1,4,4,5
26040,3,2,2,3,5
26044,2,2,2,4,4
26047,4,1,4,4,5
26048,5,1,5,4,5
26161,4,3,3,3,5
26163,5,1,5,3,5
26165,5,1,5,4,5
26166,5,1,4,4,5
26168,2,3,1,3,2
26199,5,1,3,3,5
26201,4,2,2,4,5
26210,5,1,4,2,5
26223,4,2,4,3,5
26228,4,3,4,3,5
26229,2,2,1,1,2
26239,4,2,2,3,4
26264,4,2,3,3,4
26267,4,2,4,3,4
26280,4,2,4,3,4
26281,4,2,2,3,4
26283,4,2,3,3,4
26307,5,1,5,4,5
26310,4,3,3,2,4
26312,5,1,4,4,5
26313,3,3,3,4,5
26326,5,1,3,4,5
26329,5,1,4,4,5
26349,4,2,4,4,5
26357,2,2,3,3,4
26424,5,2,5,4,5
26441,4,2,3,2,4
26499,2,3,3,3,3
26573,4,3,3,4,5
26574,4,1,4,3,5
26585,4,2,3,3,4
26592,4,2,3,3,4
26620,5,2,4,4,5
26634,2,3,2,3,4
26641,4,2,5,4,5
26653,4,4,3,3,4
26673,3,3,2,3,3
26683,5,3,4,3,5
26684,4,3,1,2,3
26687,5,1,5,4,5
26690,3,2,3,4,4
26692,1,4,2,2,3
26695,2,3,3,3,5
26699,3,3,3,4,5
26704,4,2,4,4,4
26722,4,2,3,3,3
26855,2,3,2,3,5
26875,4,2,5,4,5
26878,4,2,4,3,4
26885,4,2,4,3,4
26925,5,1,3,1,4
26926,4,2,4,2,4
26935,2,3,4,4,4
26938,4,2,2,2,3
26939,5,1,5,4,5
26941,4,3,4,3,4
27019,5,1,4,4,5
27026,3,3,2,2,3
27099,5,1,4,3,5
27101,3,3,3,3,4
27105,3,3,3,2,3
27108,4,2,4,3,4
27109,3,2,3,3,4
27112,2,2,3,3,4
27114,4,3,2,3,2
27116,3,2,2,3,5
27123,4,2,3,3,4
27154,4,3,4,3,4
27155,4,2,3,3,4
27157,3,3,3,3,4
27162,3,2,3,3,4
27171,1,4,1,3,3
27173,1,3,1,2,4
27178,4,2,4,4,5
27197,2,3,1,2,2
27201,5,1,4,3,5
27224,5,1,4,3,5
27229,4,2,2,2,4
27238,5,2,4,2,5
27291,2,4,2,3,4
27295,3,3,4,3,5
27298,3,4,3,3,5
27299,5,2,3,3,5
27300,4,2,3,4,5
27371,1,4,1,1,2
27400,3,3,2,3,4
27453,5,1,4,3,5
27463,4,1,4,2,5
27467,3,2,3,3,4
27503,2,2,1,2,3
27505,3,3,3,4,5
27506,4,2,3,3,5
27509,4,3,3,3,5
27511,2,1,3,3,5
27516,5,2,1,3,4
27546,4,1,4,4,4
27611,3,2,3,3,4
27621,2,3,2,3,3
27644,5,1,3,3,4
27688,4,1,3,3,4
27730,4,3,4,3,5
27734,3,3,4,4,4
27735,5,1,5,4,5
27739,3,3,3,2,3
27741,3,3,3,2,3
27742,2,4,2,3,4
27744,3,3,4,2,4
27746,2,3,3,4,4
27773,4,1,2,3,5
27787,5,1,4,4,5
27794,4,2,2,4,4
27795,5,1,4,3,5
27799,5,1,4,4,5
27857,5,1,4,3,5
27858,4,1,3,4,4
27881,4,2,4,4,5
27912,4,3,4,3,5
27923,5,2,4,3,5
27929,4,3,3,3,4
27930,4,1,3,3,4
27935,4,1,4,4,5
27945,4,1,4,4,4
27947,4,2,4,3,5
28012,2,4,3,3,4
28069,5,1,5,4,5
28073,4,2,4,3,4
28074,4,2,3,3,4
28075,3,3,3,3,3
28100,4,2,4,3,5
28105,4,2,2,2,4
28109,3,3,3,3,3
28125,4,1,3,3,5
28146,4,4,3,3,3
28158,4,2,3,3,4
28219,2,2,3,3,5
28220,2,2,2,3,4
28221,4,2,2,3,5
28228,2,2,1,3,5
28230,2,3,1,3,4
28246,2,3,2,4,4
28303,4,2,4,4,5
28306,4,3,3,3,4
28321,4,1,4,3,5
28327,4,2,1,3,1
28331,1,4,4,4,5
28332,2,3,2,3,1
28334,2,3,5,4,5
28346,2,3,1,4,3
28354,5,1,4,3,5
28360,2,2,2,3,5
28362,5,1,2,3,5
28364,4,2,4,3,4
28418,4,2,4,3,5
28428,4,1,4,3,5
28439,4,3,3,2,4
28441,4,2,5,4,5
28444,3,3,3,3,2
28446,4,1,3,3,4
28448,4,2,5,4,5
28460,5,1,4,3,4
28766,5,5,5,4,5
28788,5,1,3,3,4
28802,4,1,4,4,5
28807,5,2,2,3,5
28859,4,2,3,3,3
28877,4,2,4,3,5
28878,5,1,4,4,5
28886,3,3,2,3,3
28897,4,1,2,3,4
28918,4,2,3,3,4
28920,4,1,4,4,4
28923,4,1,4,3,4
28924,4,2,2,3,4
28926,3,3,2,3,4
28927,4,1,4,4,4
28932,4,1,5,3,4
28935,4,1,4,4,4
28936,4,2,3,4,4
28945,5,2,5,4,5
28948,4,3,3,2,4
28954,4,2,5,4,5
28992,4,3,3,2,4
28999,4,2,4,4,4
29006,4,2,4,4,4
29043,3,3,4,4,5
29048,4,1,4,4,5
29062,4,2,4,3,5
29102,5,4,4,3,4
29107,5,1,4,3,5
29109,4,1,4,2,5
29140,3,4,4,3,4
29147,4,1,2,3,5
29197,5,1,5,4,5
29280,4,1,4,3,2
29282,2,3,2,2,3
29283,5,1,5,4,5
29286,4,1,4,3,4
29288,3,2,3,2,3
29292,4,1,3,2,3
29293,5,1,4,4,5
29294,2,3,3,2,3
29333,3,2,2,3,4
29334,3,3,2,2,4
29335,2,3,2,2,4
29341,5,1,5,3,5
29352,3,2,3,3,4
29359,4,2,3,3,4
29362,5,1,4,4,5
29367,3,3,3,3,3
29421,4,3,4,4,2
29428,2,4,2,3,3
29439,3,2,3,1,3
29440,2,3,3,3,4
29447,4,2,2,3,4
29450,4,2,4,4,5
29452,2,3,2,2,4
29454,4,2,4,3,4
29456,3,2,2,3,4
29457,4,2,4,4,5
29459,5,1,4,3,5
29463,4,2,4,3,5
29464,3,3,4,3,5
29507,3,3,3,3,3
29546,3,3,3,3,3
29553,4,2,4,3,5
29561,4,3,3,2,2
29564,4,2,2,2,3
29565,2,3,2,3,2
29570,5,5,5,4,5
29592,5,2,4,4,5
29595,5,1,5,4,5
29597,5,2,4,4,5
29601,5,1,5,4,5
29616,5,1,5,4,5
29678,2,3,3,3,3
29680,3,2,3,2,4
29684,4,4,3,2,4
29687,3,3,3,2,4
29703,5,1,4,3,5
29704,5,1,3,3,5
29705,5,1,4,4,5
29706,4,2,2,2,5
29735,4,2,4,3,4
29737,4,2,4,4,5
29742,4,2,4,2,4
29760,4,2,3,3,5
29763,3,3,3,4,4
29764,4,2,3,4,5
29773,5,1,3,3,5
29774,2,2,3,3,3
29777,4,3,3,2,3
29798,5,1,4,3,5
29802,4,1,4,4,5
29805,4,1,4,4,4
29819,4,2,3,3,4
29823,4,3,3,3,4
29874,3,2,3,2,4
31001,4,2,1,3,5
31002,4,4,1,1,1
31003,2,3,2,3,4
31006,2,3,4,4,5
31008,4,3,2,3,4
31025,5,1,4,4,5
31030,2,2,2,3,3
31031,4,1,4,4,4
31033,2,3,3,4,4
31041,2,3,1,3,3
31051,4,1,2,3,4
31066,4,1,3,3,4
31079,5,4,1,1,2
31080,3,1,3,3,4
31081,4,3,1,1,2
31084,3,4,2,1,3
31085,5,1,4,4,5
31090,3,2,3,3,4
31092,4,1,3,3,4
31093,4,1,3,3,3
31094,5,1,5,4,5
31095,5,1,5,4,5
31097,5,1,4,4,5
31102,2,3,4,3,4
31116,2,3,2,2,2
31117,1,4,1,1,4
31118,3,2,2,2,2
31119,3,3,3,2,2
31120,4,2,2,2,4
31121,3,3,2,2,4
31122,2,2,1,2,3
31123,1,3,1,1,3
31124,3,2,3,3,4
31127,5,1,3,4,5
31133,2,3,2,4,4
31137,5,2,3,4,5
31138,3,3,3,4,4
31142,4,1,3,4,5
31144,2,3,2,3,4
31145,4,2,3,4,5
31146,5,1,3,4,5
31149,4,2,3,4,5
31160,2,2,2,3,4
31161,3,2,2,3,4
31163,4,2,3,2,4
31174,4,1,3,3,5
31180,4,2,2,3,4
31183,4,2,2,2,2
31191,4,2,1,3,4
31202,4,1,3,3,5
31205,3,1,3,3,5
31209,5,1,3,4,4
31210,3,2,3,3,4
31214,4,3,3,3,3
31219,3,3,1,3,2
31220,3,2,3,3,3
31221,3,2,3,3,3
31222,4,2,3,3,4
31223,3,2,2,3,4
31227,4,2,3,3,5
31229,4,3,4,3,5
31233,2,3,2,3,4
31243,4,2,3,3,4
31246,4,2,4,4,5
31264,3,2,3,3,4
31273,3,2,4,3,5
31280,4,1,3,3,5
31281,4,2,3,3,4
31302,1,4,1,2,3
31304,5,2,3,2,4
31308,4,2,4,3,4
31309,4,2,4,3,4
31311,4,2,4,3,5
31313,2,2,3,3,2
31316,3,2,2,3,3
31326,4,2,3,3,4
31334,2,3,3,3,3
31341,3,3,2,4,3
31342,2,3,2,2,2
31344,4,2,4,3,5
31345,2,3,3,3,3
31354,2,3,3,3,4
31356,4,4,1,2,1
31360,4,2,3,3,4
31362,4,2,4,3,4
31366,2,3,3,3,2
31370,4,2,3,3,4
31372,4,2,3,2,4
31373,4,2,3,3,4
31374,3,1,3,3,4
31377,4,2,3,3,4
31380,2,2,4,3,4
31382,5,1,5,4,5
31383,3,3,3,3,3
31386,4,2,4,3,4
31387,5,1,5,4,5
31403,2,3,2,3,5
31404,2,3,2,3,5
31407,3,3,3,3,5
31409,4,2,3,3,4
31413,5,1,4,4,5
31414,5,1,4,4,5
31415,5,1,4,4,5
31416,5,2,3,4,5
31420,4,1,4,4,5
31423,4,1,4,4,5
31424,2,2,2,4,4
31433,5,1,4,3,5
31435,5,1,4,3,5
31437,4,2,3,3,4
31438,5,1,4,3,5
31439,4,1,4,3,5
31440,5,1,4,4,5
31441,5,1,3,4,5
31442,5,1,4,4,5
31443,3,3,3,4,4
31447,5,1,4,4,5
31448,4,2,4,4,4
31449,4,2,4,3,4
31454,5,1,5,4,5
31455,5,2,5,4,5
31456,5,1,5,4,5
31457,4,2,4,4,4
31458,4,1,5,4,5
31460,4,3,3,2,4
31461,4,1,5,4,5
31462,5,1,5,4,5
31464,4,1,4,3,5
31466,4,2,4,4,5
31467,4,2,5,4,5
31468,5,1,4,4,5
31469,4,1,5,4,5
31473,4,2,3,3,4
31475,5,2,5,4,5
31537,2,3,2,3,3
31543,4,2,3,4,4
31544,1,3,2,4,3
31546,3,2,3,3,4
31552,4,2,4,4,4
31555,2,3,3,4,3
31556,5,1,5,4,5
31559,4,1,5,4,5
31560,4,2,4,4,4
31561,5,1,5,4,5
31569,5,1,4,4,5
31574,4,2,3,4,4
31577,4,1,2,3,4
31586,5,1,4,4,5
31603,5,2,2,3,4
31604,2,3,3,4,4
31610,3,2,3,4,4
31616,5,1,3,3,5
31618,5,1,2,3,3
31625,5,3,5,3,5
31632,5,1,4,3,5
31636,5,1,4,4,4
31637,5,1,4,4,5
31638,4,2,2,3,4
31640,1,4,1,2,1
31641,4,1,3,4,5
31649,5,1,3,4,5
31651,5,1,5,4,4
31652,3,3,2,3,3
31655,5,1,5,4,5
31658,5,1,5,4,5
31662,4,2,4,4,5
31663,5,1,5,4,5
31664,4,2,4,3,4
31665,3,3,3,4,4
31666,4,2,3,3,5
31671,4,1,3,3,4
31676,4,2,5,4,4
31677,4,2,5,4,5
31679,2,3,3,4,3
31680,2,3,2,4,2
31682,5,2,5,4,5
31684,2,3,2,4,3
31685,5,2,4,3,3
31686,2,3,2,3,3
31687,2,4,3,3,3
31689,4,3,3,2,4
31690,3,3,2,4,4
31692,5,3,3,3,4
31693,4,3,4,3,5
31695,2,3,2,3,4
31701,4,2,3,3,4
31704,5,1,3,3,5
31705,2,3,2,4,5
31707,2,3,2,3,3
31708,4,1,3,3,5
31710,2,3,2,3,4
31712,1,3,2,3,4
31715,4,1,3,3,4
31716,4,1,3,3,5
31717,2,3,1,3,3
31723,5,1,5,4,5
31724,5,1,5,4,5
31725,5,2,4,4,4
31726,5,1,5,4,5
31728,4,1,3,3,4
31733,3,2,2,3,3
31734,4,1,1,1,4
31735,3,3,2,3,2
31736,4,2,3,3,4
31737,2,2,2,2,2
31738,5,1,4,3,5
31740,3,2,3,2,2
31741,4,2,2,3,4
31744,1,4,1,3,3
31745,4,1,3,3,4
31746,3,2,4,4,5
31750,4,2,4,3,4
31751,4,1,4,3,4
31752,4,2,4,3,5
31757,5,3,5,4,5
31760,5,3,3,3,4
31762,5,3,4,3,4
31768,4,2,3,3,3
31781,4,3,2,3,4
31783,3,3,2,3,4
31785,4,3,3,3,4
31790,3,3,3,3,3
31791,4,3,2,4,4
31792,3,3,2,4,5
31796,3,2,1,2,1
31797,4,1,2,3,4
31798,2,3,1,3,3
31799,5,1,4,3,5
31801,2,3,2,3,2
31815,1,4,2,2,3
31816,4,2,1,3,4
31855,1,5,1,3,4
31856,1,5,1,3,4
31859,5,1,4,3,3
31860,2,2,4,3,3
31864,3,4,2,2,3
31866,2,2,3,2,3
31868,4,2,1,3,3
31869,3,2,2,3,4
31871,4,1,2,3,5
31877,3,3,3,3,3
31891,5,5,5,2,5
31894,4,1,4,3,4
31896,4,1,4,3,5
